Date,ExchangeRate
2016-01-01,199.68
2016-01-03,199.51
2016-01-04,200.11
2016-01-05,199.08
2016-01-06,198.47
2016-01-07,197.42
2016-01-08,199.34
2016-01-10,198.32
2016-01-11,199.23
2016-01-12,199.17
2016-01-13,198.05
2016-01-14,198.58
2016-01-15,199.12
2016-01-17,198.98
2016-01-18,199.29
2016-01-19,197.66
2016-01-20,199.58
2016-01-21,199.92
2016-01-22,199.06
2016-01-24,199.67
2016-01-25,198.66
2016-01-26,198.33
2016-01-27,198.8
2016-01-28,198.62
2016-01-29,199.11
2016-01-31,201.0
2016-02-01,198.78
2016-02-02,198.05
2016-02-03,196.27
2016-02-04,199.1
2016-02-05,199.07
2016-02-07,199.06
2016-02-08,199.09
2016-02-09,197.92
2016-02-10,199.15
2016-02-11,199.68
2016-02-12,199.1
2016-02-14,199.66
2016-02-15,198.04
2016-02-16,199.08
2016-02-17,198.83
2016-02-18,198.89
2016-02-19,199.12
2016-02-21,198.53
2016-02-22,199.33
2016-02-23,199.07
2016-02-24,198.04
2016-02-25,198.18
2016-02-26,199.15
2016-02-28,200.92
2016-02-29,198.12
2016-03-01,199.39
2016-03-02,199.18
2016-03-03,197.71
2016-03-04,199.11
2016-03-06,198.83
2016-03-07,199.13
2016-03-08,199.41
2016-03-09,199.08
2016-03-10,198.65
2016-03-11,197.93
2016-03-13,197.3
2016-03-14,199.3
2016-03-15,199.15
2016-03-16,196.89
2016-03-17,199.23
2016-03-18,199.17
2016-03-20,198.98
2016-03-21,199.06
2016-03-22,199.06
2016-03-23,198.91
2016-03-24,199.0
2016-03-25,199.0
2016-03-27,199.07
2016-03-28,199.12
2016-03-29,199.19
2016-03-30,199.09
2016-03-31,199.1
2016-04-01,199.08
2016-04-03,199.09
2016-04-04,199.12
2016-04-05,199.06
2016-04-06,199.16
2016-04-07,199.17
2016-04-08,199.19
2016-04-10,199.17
2016-04-11,199.13
2016-04-12,199.04
2016-04-13,199.14
2016-04-14,199.04
2016-04-15,199.13
2016-04-17,199.12
2016-04-18,199.15
2016-04-19,199.15
2016-04-20,199.1
2016-04-21,199.09
2016-04-22,199.1
2016-04-24,199.14
2016-04-25,199.11
2016-04-26,199.15
2016-04-27,199.17
2016-04-28,199.12
2016-04-29,199.11
2016-05-01,198.33
2016-05-02,199.06
2016-05-03,200.5
2016-05-04,199.1
2016-05-05,199.12
2016-05-06,198.99
2016-05-08,199.03
2016-05-09,198.93
2016-05-10,199.04
2016-05-11,199.27
2016-05-12,199.04
2016-05-13,199.04
2016-05-15,199.17
2016-05-16,199.3
2016-05-17,199.22
2016-05-18,198.94
2016-05-19,199.09
2016-05-20,199.07
2016-05-22,199.23
2016-05-23,198.99
2016-05-24,199.05
2016-05-25,199.02
2016-05-26,199.02
2016-05-27,199.04
2016-05-29,199.16
2016-05-30,199.09
2016-05-31,198.95
2016-06-01,199.12
2016-06-02,199.01
2016-06-03,198.97
2016-06-05,199.12
2016-06-06,198.92
2016-06-07,199.0
2016-06-08,198.97
2016-06-09,199.02
2016-06-10,199.02
2016-06-12,199.65
2016-06-13,198.97
2016-06-14,199.07
2016-06-15,198.98
2016-06-16,199.2
2016-06-17,199.06
2016-06-19,199.06
2016-06-20,281.52
2016-06-21,283.47
2016-06-22,282.44
2016-06-23,283.73
2016-06-24,281.4
2016-06-26,279.57
2016-06-27,282.22
2016-06-28,282.16
2016-06-29,282.62
2016-06-30,282.07
2016-07-01,282.12
2016-07-03,282.32
2016-07-04,282.03
2016-07-05,282.01
2016-07-06,282.23
2016-07-07,282.21
2016-07-08,282.77
2016-07-10,282.63
2016-07-11,282.24
2016-07-12,282.75
2016-07-13,282.81
2016-07-14,284.25
2016-07-15,290.32
2016-07-17,289.85
2016-07-18,295.25
2016-07-19,293.33
2016-07-20,294.76
2016-07-21,298.16
2016-07-22,305.23
2016-07-24,296.03
2016-07-25,310.36
2016-07-26,310.35
2016-07-27,315.27
2016-07-28,315.24
2016-07-29,318.23
2016-07-31,315.31
2016-08-01,319.96
2016-08-02,317.48
2016-08-03,318.32
2016-08-04,318.52
2016-08-05,319.27
2016-08-07,321.98
2016-08-08,316.98
2016-08-09,322.21
2016-08-10,321.45
2016-08-11,320.13
2016-08-12,320.17
2016-08-14,318.44
2016-08-15,320.28
2016-08-16,321.18
2016-08-17,321.24
2016-08-18,350.16
2016-08-19,344.47
2016-08-21,345.9
2016-08-22,329.55
2016-08-23,330.15
2016-08-24,340.3
2016-08-25,315.18
2016-08-26,315.25
2016-08-28,342.34
2016-08-29,314.74
2016-08-30,315.21
2016-08-31,315.24
2016-09-01,314.67
2016-09-02,315.24
2016-09-04,313.44
2016-09-05,314.74
2016-09-06,314.84
2016-09-07,315.4
2016-09-08,314.81
2016-09-09,315.34
2016-09-11,315.69
2016-09-12,315.28
2016-09-13,315.43
2016-09-14,315.74
2016-09-15,315.8
2016-09-16,315.71
2016-09-18,315.25
2016-09-19,315.33
2016-09-20,314.81
2016-09-21,315.36
2016-09-22,314.77
2016-09-23,315.31
2016-09-25,315.23
2016-09-26,315.28
2016-09-27,315.25
2016-09-28,315.27
2016-09-29,315.36
2016-09-30,314.8
2016-10-02,312.84
2016-10-03,314.97
2016-10-04,315.27
2016-10-05,315.22
2016-10-06,315.2
2016-10-07,315.17
2016-10-09,313.12
2016-10-10,314.74
2016-10-11,314.66
2016-10-12,315.22
2016-10-13,315.34
2016-10-14,314.74
2016-10-16,314.98
2016-10-17,315.49
2016-10-18,315.53
2016-10-19,318.15
2016-10-20,318.58
2016-10-21,314.77
2016-10-23,317.01
2016-10-24,319.79
2016-10-25,315.57
2016-10-26,314.78
2016-10-27,314.79
2016-10-28,315.43
2016-10-30,315.43
2016-10-31,315.36
2016-11-01,315.18
2016-11-02,315.8
2016-11-03,315.21
2016-11-04,314.73
2016-11-06,316.29
2016-11-07,315.32
2016-11-08,315.3
2016-11-09,314.54
2016-11-10,314.85
2016-11-11,315.22
2016-11-13,315.79
2016-11-14,315.23
2016-11-15,315.18
2016-11-16,314.64
2016-11-17,314.91
2016-11-18,315.13
2016-11-20,316.01
2016-11-21,315.36
2016-11-22,315.27
2016-11-23,315.35
2016-11-24,315.27
2016-11-25,314.92
2016-11-27,314.58
2016-11-28,315.35
2016-11-29,315.23
2016-11-30,314.66
2016-12-01,315.08
2016-12-02,315.62
2016-12-04,315.44
2016-12-05,315.0
2016-12-06,315.23
2016-12-07,314.74
2016-12-08,314.55
2016-12-09,315.34
2016-12-11,315.24
2016-12-12,316.49
2016-12-13,314.79
2016-12-14,315.24
2016-12-15,314.71
2016-12-16,315.0
2016-12-18,315.0
2016-12-19,314.98
2016-12-20,315.32
2016-12-21,315.26
2016-12-22,314.38
2016-12-23,314.34
2016-12-25,315.42
2016-12-26,314.27
2016-12-27,314.23
2016-12-28,314.92
2016-12-29,314.95
2016-12-30,314.83
2017-01-01,308.1
2017-01-02,315.53
2017-01-03,312.93
2017-01-04,313.03
2017-01-05,311.5
2017-01-06,305.84
2017-01-08,317.0
2017-01-09,303.52
2017-01-10,314.62
2017-01-11,313.42
2017-01-12,315.99
2017-01-13,314.36
2017-01-15,315.47
2017-01-16,313.98
2017-01-17,317.0
2017-01-18,317.0
2017-01-19,315.58
2017-01-20,313.51
2017-01-22,315.08
2017-01-23,313.99
2017-01-24,317.5
2017-01-25,315.45
2017-01-26,316.41
2017-01-27,314.54
2017-01-29,315.71
2017-01-30,306.77
2017-01-31,303.98
2017-02-01,305.84
2017-02-02,317.0
2017-02-03,313.01
2017-02-05,314.83
2017-02-06,314.97
2017-02-07,314.38
2017-02-08,317.5
2017-02-09,314.97
2017-02-10,314.21
2017-02-12,317.5
2017-02-13,316.37
2017-02-14,316.48
2017-02-15,313.62
2017-02-16,317.0
2017-02-17,315.59
2017-02-19,316.15
2017-02-20,315.02
2017-02-21,315.48
2017-02-22,313.51
2017-02-23,316.16
2017-02-24,317.0
2017-02-26,317.0
2017-02-27,317.0
2017-02-28,316.53
2017-03-01,314.38
2017-03-02,315.58
2017-03-03,318.5
2017-03-05,318.5
2017-03-06,310.83
2017-03-07,315.42
2017-03-08,314.59
2017-03-09,313.99
2017-03-10,312.53
2017-03-12,314.94
2017-03-13,315.38
2017-03-14,314.99
2017-03-15,317.5
2017-03-16,313.47
2017-03-17,317.0
2017-03-19,305.96
2017-03-20,306.81
2017-03-21,307.72
2017-03-22,306.78
2017-03-23,314.92
2017-03-24,314.96
2017-03-26,315.98
2017-03-27,315.0
2017-03-28,315.96
2017-03-29,316.5
2017-03-30,308.73
2017-03-31,315.5
2017-04-02,316.3
2017-04-03,313.95
2017-04-04,313.51
2017-04-05,314.95
2017-04-06,315.44
2017-04-07,317.5
2017-04-09,311.66
2017-04-10,317.5
2017-04-11,316.24
2017-04-12,315.75
2017-04-13,315.14
2017-04-14,315.78
2017-04-16,315.95
2017-04-17,314.78
2017-04-18,313.44
2017-04-19,316.5
2017-04-20,316.03
2017-04-21,314.0
2017-04-23,314.0
2017-04-24,317.0
2017-04-25,313.51
2017-04-26,314.47
2017-04-27,315.48
2017-04-28,315.98
2017-04-30,316.59
2017-05-01,315.9
2017-05-02,319.0
2017-05-03,315.48
2017-05-04,316.64
2017-05-05,313.59
2017-05-07,314.72
2017-05-08,315.04
2017-05-09,315.47
2017-05-10,317.5
2017-05-11,315.5
2017-05-12,317.5
2017-05-14,315.25
2017-05-15,324.21
2017-05-16,314.03
2017-05-17,313.58
2017-05-18,319.5
2017-05-19,319.0
2017-05-21,316.25
2017-05-22,314.49
2017-05-23,316.44
2017-05-24,325.0
2017-05-25,314.99
2017-05-26,315.94
2017-05-28,319.37
2017-05-29,325.35
2017-05-30,323.64
2017-05-31,313.98
2017-06-01,315.04
2017-06-02,313.0
2017-06-04,317.6
2017-06-05,324.0
2017-06-06,313.99
2017-06-07,313.51
2017-06-08,315.63
2017-06-09,314.44
2017-06-11,318.26
2017-06-12,314.98
2017-06-13,314.98
2017-06-14,324.5
2017-06-15,318.53
2017-06-16,324.5
2017-06-18,314.93
2017-06-19,316.44
2017-06-20,324.0
2017-06-21,324.5
2017-06-22,315.49
2017-06-23,314.49
2017-06-25,314.46
2017-06-26,324.32
2017-06-27,313.01
2017-06-28,350.5
2017-06-29,314.1
2017-06-30,313.99
2017-07-02,313.99
2017-07-03,315.49
2017-07-04,314.94
2017-07-05,314.06
2017-07-06,332.0
2017-07-07,349.5
2017-07-09,328.8
2017-07-10,315.01
2017-07-11,313.46
2017-07-12,315.98
2017-07-13,314.47
2017-07-14,313.9
2017-07-16,313.99
2017-07-17,305.84
2017-07-18,314.98
2017-07-19,350.5
2017-07-20,311.06
2017-07-21,314.76
2017-07-23,314.91
2017-07-24,314.98
2017-07-25,314.98
2017-07-26,312.03
2017-07-27,315.97
2017-07-28,306.25
2017-07-30,308.33
2017-07-31,312.03
2017-08-01,315.49
2017-08-02,315.08
2017-08-03,315.08
2017-08-04,369.02
2017-08-06,366.26
2017-08-07,365.1
2017-08-08,367.53
2017-08-09,364.83
2017-08-10,363.72
2017-08-11,363.6
2017-08-13,364.0
2017-08-14,366.44
2017-08-15,366.37
2017-08-16,362.49
2017-08-17,359.78
2017-08-18,362.5
2017-08-20,343.96
2017-08-21,358.49
2017-08-22,360.85
2017-08-23,363.5
2017-08-24,361.03
2017-08-25,356.05
2017-08-27,355.83
2017-08-28,360.95
2017-08-29,357.5
2017-08-30,355.0
2017-08-31,355.99
2017-09-01,359.73
2017-09-03,358.12
2017-09-04,358.55
2017-09-05,358.45
2017-09-06,359.56
2017-09-07,358.39
2017-09-08,361.48
2017-09-10,361.48
2017-09-11,361.1
2017-09-12,357.26
2017-09-13,355.0
2017-09-14,361.03
2017-09-15,360.2
2017-09-17,357.53
2017-09-18,360.87
2017-09-19,358.56
2017-09-20,355.5
2017-09-21,354.5
2017-09-22,358.31
2017-09-24,358.31
2017-09-25,358.39
2017-09-26,356.0
2017-09-27,357.47
2017-09-28,357.23
2017-09-29,359.0
2017-10-01,358.83
2017-10-02,358.27
2017-10-03,358.31
2017-10-04,358.3
2017-10-05,358.47
2017-10-06,359.31
2017-10-08,359.21
2017-10-09,359.88
2017-10-10,359.54
2017-10-11,356.0
2017-10-12,360.68
2017-10-13,360.18
2017-10-15,357.62
2017-10-16,359.85
2017-10-17,356.5
2017-10-18,358.55
2017-10-19,359.6
2017-10-20,360.68
2017-10-22,360.15
2017-10-23,359.78
2017-10-24,359.78
2017-10-25,358.59
2017-10-26,358.53
2017-10-27,360.57
2017-10-29,358.92
2017-10-30,359.69
2017-10-31,359.72
2017-11-01,356.0
2017-11-02,359.77
2017-11-03,361.1
2017-11-05,358.76
2017-11-06,356.0
2017-11-07,359.64
2017-11-08,359.85
2017-11-09,358.14
2017-11-10,359.22
2017-11-12,357.62
2017-11-13,359.67
2017-11-14,357.33
2017-11-15,362.28
2017-11-16,359.75
2017-11-17,360.09
2017-11-19,360.09
2017-11-20,361.11
2017-11-21,359.69
2017-11-22,360.0
2017-11-23,359.79
2017-11-24,360.0
2017-11-26,358.41
2017-11-27,361.06
2017-11-28,361.09
2017-11-29,359.73
2017-11-30,358.39
2017-12-01,360.1
2017-12-03,359.91
2017-12-04,359.74
2017-12-05,361.08
2017-12-06,359.93
2017-12-07,360.37
2017-12-08,358.9
2017-12-10,359.47
2017-12-11,360.88
2017-12-12,360.89
2017-12-13,360.12
2017-12-14,361.05
2017-12-15,361.03
2017-12-17,360.82
2017-12-18,360.25
2017-12-19,358.49
2017-12-20,358.44
2017-12-21,359.64
2017-12-22,359.19
2017-12-24,359.62
2017-12-25,358.59
2017-12-26,359.59
2017-12-27,359.61
2017-12-28,359.62
2017-12-29,358.62
2017-12-31,359.22
2018-01-01,358.52
2018-01-02,359.69
2018-01-03,359.5
2018-01-04,360.34
2018-01-05,361.18
2018-01-07,360.65
2018-01-08,359.82
2018-01-09,359.9
2018-01-10,362.29
2018-01-11,360.22
2018-01-12,360.0
2018-01-14,358.3
2018-01-15,359.88
2018-01-16,359.1
2018-01-17,359.87
2018-01-18,360.41
2018-01-19,360.0
2018-01-21,361.33
2018-01-22,360.25
2018-01-23,360.25
2018-01-24,360.5
2018-01-25,360.43
2018-01-26,360.0
2018-01-28,360.0
2018-01-29,360.25
2018-01-30,360.58
2018-01-31,359.91
2018-02-01,360.03
2018-02-02,360.0
2018-02-04,360.19
2018-02-05,360.51
2018-02-06,360.0
2018-02-07,360.59
2018-02-08,360.0
2018-02-09,360.5
2018-02-11,361.01
2018-02-12,360.75
2018-02-13,361.0
2018-02-14,360.45
2018-02-15,360.22
2018-02-16,361.0
2018-02-18,360.66
2018-02-19,360.41
2018-02-20,360.5
2018-02-21,360.25
2018-02-22,361.0
2018-02-23,360.0
2018-02-25,360.58
2018-02-26,360.18
2018-02-27,360.44
2018-02-28,361.0
2018-03-01,360.44
2018-03-02,360.5
2018-03-04,360.5
2018-03-05,360.25
2018-03-06,360.93
2018-03-07,360.26
2018-03-08,360.5
2018-03-09,360.0
2018-03-11,360.25
2018-03-12,360.24
2018-03-13,360.24
2018-03-14,360.25
2018-03-15,360.23
2018-03-16,360.0
2018-03-18,360.54
2018-03-19,359.78
2018-03-20,360.0
2018-03-21,359.87
2018-03-22,360.39
2018-03-23,360.0
2018-03-25,359.82
2018-03-26,359.74
2018-03-27,360.0
2018-03-28,359.89
2018-03-29,359.91
2018-03-30,360.0
2018-04-01,360.0
2018-04-02,360.0
2018-04-03,359.88
2018-04-04,359.25
2018-04-05,359.72
2018-04-06,360.0
2018-04-08,359.88
2018-04-09,359.09
2018-04-10,359.87
2018-04-11,359.68
2018-04-12,359.9
2018-04-13,360.0
2018-04-15,360.0
2018-04-16,360.0
2018-04-17,360.08
2018-04-18,359.66
2018-04-19,360.02
2018-04-20,360.0
2018-04-22,359.83
2018-04-23,360.04
2018-04-24,359.68
2018-04-25,359.76
2018-04-26,359.71
2018-04-27,360.0
2018-04-29,359.9
2018-04-30,359.73
2018-05-01,360.61
2018-05-02,359.89
2018-05-03,359.91
2018-05-04,359.5
2018-05-06,359.63
2018-05-07,359.68
2018-05-08,359.92
2018-05-09,360.08
2018-05-10,360.36
2018-05-11,360.5
2018-05-13,359.97
2018-05-14,360.26
2018-05-15,360.12
2018-05-16,360.17
2018-05-17,359.85
2018-05-18,360.04
2018-05-20,359.73
2018-05-21,360.32
2018-05-22,361.0
2018-05-23,360.5
2018-05-24,359.83
2018-05-25,361.0
2018-05-27,361.0
2018-05-28,359.85
2018-05-29,359.86
2018-05-30,360.25
2018-05-31,360.3
2018-06-01,360.5
2018-06-03,361.1
2018-06-04,360.77
2018-06-05,360.5
2018-06-06,360.09
2018-06-07,360.07
2018-06-08,361.0
2018-06-10,361.0
2018-06-11,359.75
2018-06-12,360.08
2018-06-13,360.3
2018-06-14,360.09
2018-06-15,360.5
2018-06-17,360.12
2018-06-18,360.09
2018-06-19,360.0
2018-06-20,359.83
2018-06-21,360.5
2018-06-22,360.0
2018-06-24,359.88
2018-06-25,359.79
2018-06-26,359.71
2018-06-27,359.71
2018-06-28,359.91
2018-06-29,360.0
2018-07-01,359.87
2018-07-02,360.15
2018-07-03,360.15
2018-07-04,359.92
2018-07-05,360.5
2018-07-06,360.5
2018-07-09,360.0
2018-07-10,361.0
2018-07-11,360.73
2018-07-12,361.0
2018-07-13,360.5
2018-07-15,360.5
2018-07-16,361.0
2018-07-17,361.0
2018-07-18,361.0
2018-07-19,361.62
2018-07-20,360.5
2018-07-22,359.03
2018-07-23,359.47
2018-07-24,361.55
2018-07-25,361.45
2018-07-26,362.0
2018-07-27,361.55
2018-07-29,361.55
2018-07-30,361.0
2018-07-31,360.73
2018-08-01,361.19
2018-08-02,360.0
2018-08-03,360.5
2018-08-05,360.48
2018-08-06,360.5
2018-08-07,360.68
2018-08-08,360.5
2018-08-09,361.24
2018-08-10,360.5
2018-08-12,359.98
2018-08-13,360.5
2018-08-14,360.5
2018-08-15,360.86
2018-08-16,361.02
2018-08-17,361.01
2018-08-19,361.01
2018-08-20,361.5
2018-08-21,362.0
2018-08-22,362.02
2018-08-23,362.68
2018-08-24,360.58
2018-08-26,360.58
2018-08-27,361.35
2018-08-28,362.06
2018-08-29,361.75
2018-08-30,362.05
2018-08-31,362.17
2018-09-01,362.17
2018-09-02,362.17
2018-09-03,359.52
2018-09-04,359.68
2018-09-05,361.52
2018-09-06,359.46
2018-09-07,359.8
2018-09-08,359.8
2018-09-09,359.8
2018-09-10,362.72
2018-09-11,363.21
2018-09-12,362.22
2018-09-13,363.31
2018-09-14,362.5
2018-09-15,362.5
2018-09-16,362.5
2018-09-17,361.81
2018-09-18,362.5
2018-09-19,362.24
2018-09-20,362.93
2018-09-21,362.5
2018-09-22,362.5
2018-09-23,362.59
2018-09-24,363.94
2018-09-25,363.0
2018-09-26,363.77
2018-09-27,363.0
2018-09-28,362.5
2018-09-29,362.5
2018-09-30,363.83
2018-10-01,363.8
2018-10-02,363.26
2018-10-03,363.0
2018-10-04,363.27
2018-10-05,363.5
2018-10-06,362.6
2018-10-07,363.5
2018-10-08,363.06
2018-10-09,363.53
